L.P;Powiaty;X1;X2;X3;X4;X5;X6;X7;X8;X9
1; bolesławiecki;0.092001;0.077933;0.046042;0.000079618;36813;0.091975;0.001381;4.442675;99896.057
2; dzierżoniowski;0.032748;0.035213;0.034932;0.000083455;33846;0.178807;0.002487;0.19299;0
3; głogowski;0.190489;0.04234;0.03673;0.00019839;385885;0.027915;0.00079;13.132221;123618.399
4; górowski;0.067477;0.049209;0.057631;0.000152718;3477;0.705872;0.001124;0.19548;0
5; jaworski;0.052673;0.044512;0.035576;0.000105086;20288;0.262873;0.001962;2.257251;0
6; karkonoski;0.097206;0.054384;0.046535;0.000213045;55834;0.262502;0.000909;0.227794;0
7; kamiennogórski;0.250012;0.033729;0.04174;0.000269674;13592;0.160336;0.000733;1.801912;57823.864
8; kłodzki;0.061425;0.037912;0.052652;0.00011434;33815;0.375493;0.001083;1.834813;355713.044
9; legnicki;0.173271;0.170058;0.038086;0.000163547;37829;0.120129;0.001828;1.301108;0
10; lubański;0.054644;0.039464;0.052125;0.000154172;21489;0.022522;0.003198;0.780497;0
11; lubiński;0.057857;0.407586;0.039394;0.000203036;148655;0.021174;0.001124;74.030745;315998.631
12; lwówecki;0.032424;0.026247;0.030647;0.000185357;845;0.13262;0.000705;0.280352;0
13; milicki;2.174937;2.15923;0.034977;0.000139548;0;0.677573;0.000699;0;0
14; oleśnicki;0.082622;0.072031;0.042117;0.000122089;32540;0.104603;0.000629;0.084523;0
15; oławski;0.071506;0.063679;0.047771;0.000090556;55686;0.001468;0.000572;2.21216;0
16; polkowicki;0.047136;0.038842;0.036578;0.000228348;266730;0.266938;0.000282;346.703637;340259.21
17; strzeliński;0.088697;0.068407;0.036049;0.000166706;72323;0.146499;0.00037;2.05287;0
18; średzki;0.059351;0.046707;0.040006;0.00015382;53537;0.007445;0.000355;0.587934;0
19; świdnicki;0.062163;0.04588;0.046136;0.000059504;114831;0.074287;0.002549;0.413884;0
20; trzebnicki;0.319157;0.305916;0.042599;0.000160385;386;0.240125;0.001952;0.217665;0
21; wałbrzyski;0.0976;0.029142;0.031145;0.000150602;837;0.355692;0.003138;0.534639;0
22; wołowski;0.24644;0.231426;0.189311;0.000131205;104730;0.117947;0.0004;1.705664;45587.719
23; wrocławski;0.089101;0.110909;0.072322;0.000076595;533717;0.109656;0.001315;2.593829;82036.403
24; ząbkowicki;0.047075;0.03652;0.040282;0.000261909;0;0.158486;0.002058;4.17908;226882.759
25; zgorzelecki;0.338324;0.30893;0.038633;0.000221187;9220266;0.001437;0.000525;23.066356;0
26; złotoryjski;0.051527;0.035964;0.035055;0.000268752;166;0.070539;0.001233;11.434156;0
27; miasto Jelenia Góra;0.064538;0.046595;0.087655;0.000013194;88607;0.199059;0.001647;0.11743;0
28; miasto Legnica;0.101897;0.051008;0.048694;0.000032244;154914;0.002743;0.009593;4.521711;107505.376
29; miasto Wrocław;0.126176;0.10764;0.057252;0.000011868;1132852;0.024033;0.003893;0.874377;229923.077
30; miasto Wałbrzych;0.005246;0.045881;0.035295;0.000019635;268684;0.169355;0.007558;1.593363;166027.344
